"","X","PRT_ID","AREA","INT_SQFT","DATE_SALE","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","DATE_BUILD","BUILDTYPE","UTILITY_AVAIL","STREET","REG_FEE","COMMIS","SALES_PRICE","YEAR_BUILD","YEAR_SOLD"
"2207",2207,"P08310","Chromepet",941,"19-02-2008",92,1,1,3,"Adj Land","Yes","24-02-1988","Housing","AllPub","Gravel",296040,69076,9868000,"1988","2008"
"2208",2208,"P04843","KK Nagar",1412,"20-06-2010",177,2,1,4,"Abnormal","Yes","26-06-1985","Other","No_Sew_Water","Paved",533907,138816,10678140,"1985","2010"
"2209",2209,"P05467","Chromepet",1153,"19-02-2010",136,1,1,3,"Normal Sale","No","24-02-1990","Commercial","ELO","NoAccess",424604,167268,12866800,"1990","2010"
"2210",2210,"P02564","TNagar",1690,"11-09-2011",113,1,1,4,"Partial","Yes","16-09-1988","Commercial","ELO","Paved",781044,370996,19526110,"1988","2011"
"2211",2211,"P05002","KK Nagar",1307,"19-05-2010",88,1,1,3,"Partial","Yes","22-05-1998","Other","No_Sew_Water","Gravel",315275,111273,9272780,"1998","2010"
"2212",2212,"P09911","Velachery",1635,"26-10-2004",15,2,1,4,"Family","Yes","07-11-1957","Housing","No_Sew_Water","Gravel",287115,143557,9570490,"1957","2004"
"2213",2213,"P00658","Chromepet",772,"02-11-2013",114,1,1,2,"Adj Land","Yes","06-11-1996","Commercial","ELO","NoAccess",283700,172247,10132150,"1996","2013"
"2214",2214,"P06095","Karapakkam",1438,"24-10-2009",168,2,2,4,"Partial","Yes","05-11-1963","Commercial","No_Sew_Water","Gravel",607282,111542,12393500,"1963","2009"
"2215",2215,"P02660","TNagar",1505,"24-08-2011",83,1,1,4,"Abnormal","Yes","01-09-1977","Housing","ELO","NoAccess",443455,177382,11086380,"1977","2011"
"2216",2216,"P03703","Karapakkam",1635,"28-01-2011",8,2,2,4,"Family","No","04-02-1984","Housing","No_Sew_Water","Paved",432217,176415,8820750,"1984","2011"
"2217",2217,"P01931","Anna Nagar",1631,"13-01-2012",121,1,1,4,"Abnormal","Yes","18-01-1991","Other","ELO","NoAccess",392056,171525,12251750,"1991","2012"
"2218",2218,"P00883","TNagar",1585,"26-05-2013",36,1,1,4,"Adj Land","Yes","05-06-1972","Housing","ELO","Paved",343021,189253,11828320,"1972","2013"
"2219",2219,"P01119","Chromepet",1117,"11-12-2012",10,1,1,3,"Normal Sale","No","16-12-1995","Commercial","No_Sew_Water","Gravel",368444,203279,12704950,"1995","2012"
"2220",2220,"P02006","Karapakkam",1296,"28-12-2011",190,1,1,3,"Partial","Yes","03-01-1985","Commercial","No_Sew_Water","Gravel",483116,202235,11235250,"1985","2011"
"2221",2221,"P00871","Chromepet",1238,"04-06-2013",178,2,1,4,"Abnormal","No","14-06-1974","Other","No_Sew_Water","Gravel",249974,157391,9258310,"1974","2013"
"2222",2222,"P07466","KK Nagar",1859,"01-11-2008",54,3,2,5,"Adj Land","Yes","08-11-1980","Commercial","No_Sew_Water","Gravel",624739,336398,16018960,"1980","2008"
"2223",2223,"P07111","KK Nagar",2239,"20-02-2009",172,4,2,6,"Normal Sale","No","25-02-1990","Housing","No_Sew_Water","Gravel",474107,185017,11563580,"1990","2009"
"2224",2224,"P05007","Velachery",1771,"18-05-2010",109,2,1,4,"Adj Land","No","27-05-1975","Housing","AllPub","Gravel",292667,56908,8129650,"1975","2010"
"2225",2225,"P03829","Adyar",626,"05-01-2011",186,1,1,2,"Partial","Yes","14-01-1975","Housing","ELO","Gravel",157549,47265,5251640,"1975","2011"
"2226",2226,"P00784","Chromepet",978,"26-07-2013",183,1,1,3,"Abnormal","No","05-08-1974","Other","No_Sew_Water","Gravel",204903,114746,8196110,"1974","2013"
"2227",2227,"P04492","TNagar",1586,"21-08-2010",23,1,1,4,"Adj Land","No","29-08-1976","Housing","No_Sew_Water","NoAccess",379590,61555,10259180,"1976","2010"
"2228",2228,"P08462","Chromepet",1196,"24-12-2007",116,1,1,3,"Abnormal","No","25-12-2002","Other","AllPub","Gravel",289517,189300,11135270,"2002","2007"
"2229",2229,"P08971","Chromepet",1225,"30-05-2007",85,2,1,4,"Abnormal","Yes","31-05-2000","Other","AllPub","Gravel",300146,177864,11116500,"2000","2007"
"2230",2230,"P07699","Chromepet",812,"29-08-2008",81,1,1,3,"Partial","Yes","31-08-2003","Housing","AllPub","Gravel",318891,106297,9663350,"2003","2008"
"2231",2231,"P06317","Karapakkam",1436,"14-09-2009",28,2,2,4,"Abnormal","No","25-09-1967","Commercial","AllPub","Gravel",401183,106196,11799500,"1967","2009"
"2232",2232,"P04478","Karapakkam",1019,"23-08-2010",90,1,1,3,"Normal Sale","Yes","04-09-1963","Commercial","No_Sew_Water","Gravel",377001,125667,10472250,"1963","2010"
"2233",2233,"P07845","Chromepet",1203,"15-07-2008",107,2,1,4,"Adj Land","Yes","25-07-1970","Commercial","AllPub","NoAccess",337288,188881,13491500,"1970","2008"
"2234",2234,"P00758","Chromepet",1027,"16-08-2013",94,1,1,3,"Adj Land","No","23-08-1985","Commercial","AllPub","NoAccess",307512,141929,11827400,"1985","2013"
"2235",2235,"P09632","Velachery",1974,"24-05-2006",124,3,2,5,"Adj Land","Yes","06-06-1955","Housing","No_Sew_Water","Paved",430247,220639,11031970,"1955","2006"
"2236",2236,"P09772","Velachery",1746,"21-08-2005",195,2,1,4,"Abnormal","Yes","27-08-1980","Housing","AllPub","NoAccess",368674,149462,9964150,"1980","2005"
"2237",2237,"P02418","KK Nagar",1711,"08-10-2011",134,2,1,4,"Adj Land","No","14-10-1985","Other","No_Sew_Water","Paved",430455,81992,10248940,"1985","2011"
"2238",2238,"P02879","TNagar",1918,"07-07-2011",150,2,1,5,"Family","Yes","17-07-1969","Housing","ELO","NoAccess",490397,163466,12574290,"1969","2011"
"2239",2239,"P05249","Karapakkam",1083,"02-04-2010",114,1,1,3,"Normal Sale","No","05-04-1997","Other","AllPub","Paved",196056,56753,5159375,"1997","2010"
"2240",2240,"P01948","Karapakkam",826,"09-01-2012",139,1,1,2,"Adj Land","No","12-01-1998","Other","No_Sew_Water","Paved",209081,92925,4646250,"1998","2012"
"2241",2241,"P02531","Velachery",1624,"16-09-2011",109,2,1,4,"Normal Sale","No","26-09-1971","Other","No_Sew_Water","Paved",289018,108382,9031800,"1971","2011"
"2242",2242,"P00628","Chromepet",1122,"21-11-2013",139,1,1,3,"Adj Land","No","28-11-1985","Commercial","AllPub","Paved",408592,210886,13180400,"1985","2013"
"2243",2243,"P00665","Anna Nagar",1906,"30-10-2013",169,2,1,5,"Adj Land","No","09-11-1972","Commercial","No_Sew_Water","Paved",600629,260273,20020970,"1972","2013"
"2244",2244,"P02779","Chromepet",849,"30-07-2011",132,1,1,3,"Normal Sale","No","07-08-1979","Other","No_Sew_Water","Paved",190651,84734,7061130,"1979","2011"
"2245",2245,"P03577","Anna Nagar",1793,"24-02-2011",108,1,1,4,"Adj Land","Yes","03-03-1983","Housing","No_Sew_Water","Paved",448462,179385,12813210,"1983","2011"
"2246",2246,"P09950","Velachery",1936,"18-07-2004",198,3,2,5,"Family","Yes","21-07-1995","Housing","No_Sew_Water","Gravel",354335,139587,10737430,"1995","2004"
"2247",2247,"P05373","Velachery",1956,"07-03-2010",141,3,2,5,"Adj Land","Yes","18-03-1966","Housing","AllPub","NoAccess",297316,67136,9590830,"1966","2010"
"2248",2248,"P02590","KK Nagar",1778,"06-09-2011",147,3,2,5,"Abnormal","Yes","13-09-1981","Housing","AllPub","Gravel",357068,220542,10502000,"1981","2011"
"2249",2249,"P03755","Karapakkam",1075,"15-01-2011",75,1,1,3,"Abnormal","No","16-01-2005","Commercial","No_Sew_Water","Paved",290479,136696,8543500,"2005","2011"
"2250",2250,"P05327","Karapakkam",541,"16-03-2010",124,1,1,2,"Family","Yes","21-03-1989","Other","AllPub","NoAccess",171294,73412,4894125,"1989","2010"
"2251",2251,"P00720","Chromepet",1166,"15-09-2013",110,1,1,3,"Family","No","19-09-1997","Commercial","No_Sew_Water","Gravel",370453,185227,14248200,"1997","2013"
"2252",2252,"P03630","Karapakkam",533,"11-02-2011",84,1,1,2,"Abnormal","No","17-02-1987","Other","No_Sew_Water","Paved",126016,33004,3000375,"1987","2011"
"2253",2253,"P05864","Chromepet",738,"08-12-2009",76,1,1,2,"Adj Land","Yes","16-12-1977","Housing","AllPub","Paved",191515,38303,7660600,"1977","2009"
"2254",2254,"P06973","TNagar",1771,"02-04-2009",110,1,1,4,"Abnormal","Yes","06-04-1993","Commercial","ELO","Paved",823645,370640,20591120,"1993","2009"
"2255",2255,"P07218","Anna Nagar",1687,"18-01-2009",72,1,1,4,"Family","Yes","26-01-1978","Housing","AllPub","NoAccess",376450,68445,11407570,"1978","2009"
"2256",2256,"P04292","KK Nagar",1970,"29-09-2010",134,3,2,5,"Partial","No","30-09-2004","Commercial","No_Sew_Water","Paved",493321,224237,14949120,"2004","2010"
"2257",2257,"P05004","Karapakkam",1620,"18-05-2010",12,2,2,4,"Adj Land","Yes","29-05-1967","Housing","No_Sew_Water","Paved",384857,128286,9163250,"1967","2010"
"2258",2258,"P01915","Karapakkam",668,"15-01-2012",88,1,1,2,"Abnormal","No","24-01-1975","Other","No_Sew_Water","Paved",155031,41594,3781250,"1975","2012"
"2259",2259,"P09077","Velachery",1542,"14-04-2007",199,2,1,4,"Family","Yes","26-04-1959","Housing","AllPub","Gravel",344951,188155,10453060,"1959","2007"
"2260",2260,"P08149","TNagar",1551,"08-04-2008",81,1,1,4,"Normal Sale","No","11-04-1998","Other","ELO","Paved",360636,236279,12435730,"1998","2008"
"2261",2261,"P05602","KK Nagar",2221,"27-01-2010",64,4,2,6,"Partial","No","01-02-1990","Other","AllPub","Paved",385507,280368,11682020,"1990","2010"
"2262",2262,"P06709","Velachery",1522,"18-06-2009",31,2,1,4,"Adj Land","No","22-06-1995","Other","No_Sew_Water","Paved",352210,92687,9268680,"1995","2009"
"2263",2263,"P09639","Velachery",1539,"10-05-2006",88,2,1,4,"Abnormal","Yes","16-05-1983","Housing","No_Sew_Water","Gravel",306260,207467,9879360,"1983","2006"
"2264",2264,"P02020","TNagar",1866,"24-12-2011",88,2,1,5,"Partial","Yes","30-12-1986","Other","AllPub","Gravel",470348,297887,15678280,"1986","2011"
"2265",2265,"P01170","Anna Nagar",1874,"16-11-2012",10,2,1,5,"Partial","Yes","23-11-1985","Other","AllPub","NoAccess",467285,233643,14602660,"1985","2012"
"2266",2266,"P03239","KK Nagar",2097,"29-04-2011",39,3,2,5,"Family","No","04-05-1989","Other","AllPub","Paved",437420,234713,10668780,"1989","2011"
"2267",2267,"P08577","Chromepet",1159,"02-11-2007",108,1,1,3,"Family","No","06-11-1989","Commercial","No_Sew_Water","NoAccess",372465,186233,12415500,"1989","2007"
"2268",2268,"P02585","KK Nagar",1438,"07-09-2011",35,2,1,4,"Partial","Yes","09-09-2001","Commercial","No_Sew_Water","Gravel",710941,232144,14509000,"2001","2011"
"2269",2269,"P01360","Chromepet",863,"08-07-2012",120,1,1,3,"Partial","No","14-07-1990","Other","No_Sew_Water","Paved",234938,36709,7341810,"1990","2012"
"2270",2270,"P03127","Karapakkam",1292,"22-05-2011",142,1,1,3,"Normal Sale","No","30-05-1979","Commercial","ELO","Paved",403221,258475,10339000,"1979","2011"
"2271",2271,"P06131","Anna Nagar",1691,"16-10-2009",153,1,1,4,"Normal Sale","Yes","23-10-1981","Housing","No_Sew_Water","Gravel",476887,188245,12549660,"1981","2009"
"2272",2272,"P09328","Anna Nagar",1894,"16-01-2007",98,2,1,5,"Family","Yes","25-01-1969","Housing","No_Sew_Water","Paved",494536,228247,12680410,"1969","2007"
"2273",2273,"P07500","Chromepet",1174,"21-10-2008",8,1,1,3,"Family","No","30-10-1973","Commercial","ELO","Paved",413176,159939,13328250,"1973","2008"
"2274",2274,"P09736","Velachery",1838,"15-10-2005",88,3,2,5,"Abnormal","No","26-10-1961","Housing","No_Sew_Water","Paved",388155,209006,9952680,"1961","2005"
"2275",2275,"P02123","Karapakkam",1582,"06-12-2011",75,2,2,4,"Normal Sale","No","07-12-2006","Commercial","AllPub","Gravel",389693,289127,12570750,"2006","2011"
"2276",2276,"P07873","KK Nagar",1951,"08-07-2008",111,3,2,5,"Partial","No","10-07-2000","Housing","No_Sew_Water","Gravel",488648,78184,9772960,"2000","2008"
"2277",2277,"P02052","Karapakkam",1237,"18-12-2011",14,1,1,3,"Normal Sale","Yes","23-12-1989","Other","No_Sew_Water","Paved",279779,143301,6823875,"1989","2011"
"2278",2278,"P05572","Velachery",1989,"01-02-2010",126,3,2,5,"Partial","Yes","10-02-1973","Other","No_Sew_Water","NoAccess",339967,119448,9188290,"1973","2010"
"2279",2279,"P06854","Chromepet",1129,"05-05-2009",86,1,1,3,"Adj Land","Yes","13-05-1979","Commercial","No_Sew_Water","Paved",482265,58456,14614100,"1979","2009"
"2280",2280,"P06553","Chromepet",768,"25-07-2009",77,1,1,2,"Partial","Yes","03-08-1973","Housing","ELO","NoAccess",216410,89549,7462400,"1973","2009"
"2281",2281,"P01375","Chromepet",1056,"28-06-2012",157,1,1,3,"Partial","No","08-07-1972","Other","No_Sew_Water","NoAccess",207922,62376,6930720,"1972","2012"
"2282",2282,"P00606","TNagar",1585,"02-12-2013",71,1,1,4,"Normal Sale","No","13-12-1970","Commercial","AllPub","NoAccess",498564,213670,17805860,"1970","2013"
"2283",2283,"P07520","KK Nagar",1789,"15-10-2008",4,3,2,5,"Adj Land","Yes","17-10-2000","Housing","AllPub","Gravel",356231,142492,11874360,"2000","2008"
"2284",2284,"P09776","Velachery",1869,"19-08-2005",22,3,2,5,"Adj Land","No","23-08-1991","Commercial","No_Sew_Water","NoAccess",621712,175355,15941330,"1991","2005"
"2285",2285,"P06130","Karapakkam",520,"16-10-2009",60,1,1,2,"Partial","No","21-10-1990","Commercial","No_Sew_Water","Gravel",178373,57709,5246250,"1990","2009"
"2286",2286,"P01222","Chromepet",738,"16-10-2012",8,1,1,2,"Adj Land","Yes","19-10-2000","Commercial","No_Sew_Water","NoAccess",276250,148750,10625000,"2000","2012"
"2287",2287,"P03253","Velachery",1914,"25-04-2011",198,3,2,5,"Abnormal","Yes","27-04-2003","Housing","No_Sew_Water","Gravel",424125,117813,11781260,"2003","2011"
"2288",2288,"P06846","Anna Nagar",1576,"07-05-2009",188,1,1,4,"Normal Sale","No","11-05-1993","Other","AllPub","Gravel",452160,188400,12560000,"1993","2009"
"2289",2289,"P06835","Chromepet",869,"09-05-2009",133,1,1,3,"Partial","No","18-05-1972","Housing","ELO","Gravel",225454,61488,6831950,"1972","2009"
"2290",2290,"P04497","Adyar",635,"20-08-2010",134,1,1,2,"Partial","No","30-08-1970","Housing","ELO","Gravel",210032,36005,6000900,"1970","2010"
"2291",2291,"P09503","Anna Nagar",1875,"06-11-2006",40,2,1,5,"Adj Land","Yes","08-11-1998","Housing","ELO","Gravel",556330,248884,14640260,"1998","2006"
"2292",2292,"P06766","KK Nagar",2344,"31-05-2009",181,4,2,6,"Normal Sale","No","04-06-1992","Commercial","No_Sew_Water","Gravel",777513,322384,18963740,"1992","2009"
"2293",2293,"P03185","Anna Nagar",1804,"09-05-2011",69,2,1,5,"Normal Sale","Yes","15-05-1987","Housing","AllPub","Gravel",536773,145074,14507380,"1987","2011"
"2294",2294,"P04069","Adyar",985,"14-11-2010",100,1,1,3,"Normal Sale","No","24-11-1970","Other","No_Sew_Water","Gravel",250764,88505,7375400,"1970","2010"
"2295",2295,"P04734","Anna Nagar",1589,"08-07-2010",117,1,1,4,"Normal Sale","Yes","12-07-1992","Commercial","AllPub","NoAccess",691048,298831,18676960,"1992","2010"
"2296",2296,"P03195","Karapakkam",1390,"07-05-2011",14,2,2,4,"Normal Sale","Yes","15-05-1978","Other","AllPub","Gravel",365286,166761,7941000,"1978","2011"
"2297",2297,"P03526","KK Nagar",2435,"09-03-2011",47,4,2,6,"Normal Sale","No","12-03-1996","Housing","AllPub","Gravel",568097,103290,12911300,"1996","2011"
"2298",2298,"P03946","Adyar",1145,"07-12-2010",28,1,1,3,"Normal Sale","Yes","14-12-1981","Other","No_Sew_Water","Gravel",424978,23610,11804935,"1981","2010"
"2299",2299,"P08459","Chromepet",714,"25-12-2007",109,1,1,2,"Abnormal","No","29-12-1988","Housing","AllPub","Gravel",262126,73723,8191450,"1988","2007"
"2300",2300,"P06855","Chromepet",1174,"05-05-2009",22,1,1,3,"Normal Sale","No","11-05-1984","Commercial","No_Sew_Water","Gravel",376424,64901,12980150,"1984","2009"
"2301",2301,"P08700","Anna Nagar",1936,"16-09-2007",199,2,1,5,"Adj Land","No","22-09-1980","Commercial","AllPub","Gravel",533016,362451,21320640,"1980","2007"
"2302",2302,"P05757","Karapakkam",1477,"27-12-2009",65,2,2,4,"Abnormal","No","03-01-1983","Commercial","AllPub","NoAccess",376134,89084,9898250,"1983","2009"
"2303",2303,"P01564","Karapakkam",1017,"17-03-2012",194,1,1,3,"Adj Land","Yes","19-03-2006","Commercial","AllPub","Gravel",466344,116586,9715500,"2006","2012"
"2304",2304,"P01165","Chromepet",943,"19-11-2012",111,1,1,3,"Adj Land","No","24-11-1995","Other","AllPub","NoAccess",215904,115663,7710860,"1995","2012"
"2305",2305,"P07836","TNagar",1515,"18-07-2008",63,1,1,4,"Abnormal","No","27-07-1975","Other","AllPub","NoAccess",433793,205481,11415610,"1975","2008"
"2306",2306,"P00893","Chromepet",1071,"17-05-2013",151,1,1,3,"Partial","No","26-05-1976","Other","AllPub","Paved",287588,102047,9277020,"1976","2013"
"2307",2307,"P07788","Velachery",1937,"02-08-2008",153,3,2,5,"Normal Sale","No","05-08-1998","Other","No_Sew_Water","Paved",394821,224088,10670850,"1998","2008"
"2308",2308,"P03177","KK Nagar",2440,"12-05-2011",68,4,2,6,"Normal Sale","Yes","14-05-2000","Other","No_Sew_Water","Paved",469162,113736,14217020,"2000","2011"
"2309",2309,"P03167","Chromepet",892,"14-05-2011",182,1,1,3,"Abnormal","Yes","20-05-1985","Other","AllPub","NoAccess",232799,88303,8027540,"1985","2011"
"2310",2310,"P04569","Velachery",1951,"07-08-2010",37,3,2,5,"Abnormal","No","10-08-1998","Commercial","ELO","Paved",547260,156360,15635990,"1998","2010"
"2311",2311,"P05308","Karapakkam",1452,"21-03-2010",141,2,2,4,"Normal Sale","No","24-03-1997","Other","No_Sew_Water","Paved",352363,144149,8008250,"1997","2010"
"2312",2312,"P09984","Velachery",1605,"21-05-2004",16,2,1,4,"Partial","No","28-05-1978","Commercial","ELO","Paved",409863,163945,11710370,"1978","2004"
"2313",2313,"P02332","Chromepet",733,"23-10-2011",62,1,1,2,"Adj Land","No","26-10-1996","Other","AllPub","Paved",217142,112315,7487660,"1996","2011"
"2314",2314,"P02990","Karapakkam",616,"17-06-2011",106,1,1,2,"Adj Land","No","26-06-1975","Other","AllPub","Gravel",272600,43616,5452000,"1975","2011"
"2315",2315,"P01382","Anna Nagar",1525,"21-06-2012",121,1,1,4,"Adj Land","No","25-06-1997","Other","No_Sew_Water","NoAccess",360570,216342,12019000,"1997","2012"
"2316",2316,"P06506","KK Nagar",1577,"04-08-2009",166,2,1,4,"Abnormal","No","05-08-2004","Other","No_Sew_Water","Paved",359504,184361,9218040,"2004","2009"
"2317",2317,"P06344","Adyar",1002,"10-09-2009",149,1,1,3,"Family","Yes","12-09-2001","Other","No_Sew_Water","Paved",231934,46387,7731120,"2001","2009"
"2318",2318,"P08357","Velachery",1792,"01-02-2008",163,2,1,4,"Abnormal","Yes","12-02-1963","Commercial","ELO","Gravel",553351,261304,15370850,"1963","2008"
"2319",2319,"P00312","Chromepet",721,"09-07-2014",118,1,1,2,"Family","Yes","17-07-1982","Other","No_Sew_Water","NoAccess",222526,47684,7947370,"1982","2014"
"2320",2320,"P00984","TNagar",1530,"19-03-2013",51,1,1,4,"Family","Yes","22-03-2003","Commercial","ELO","NoAccess",658935,156064,17340400,"2003","2013"
"2321",2321,"P07713","Chromepet",723,"24-08-2008",178,1,1,2,"Family","Yes","28-08-1993","Commercial","No_Sew_Water","NoAccess",341109,181214,10659650,"1993","2008"
"2322",2322,"P06081","Adyar",840,"27-10-2009",116,1,1,3,"Family","No","01-11-1988","Other","AllPub","Paved",210509,32892,6578415,"1988","2009"
"2323",2323,"P02029","Karapakkam",1254,"22-12-2011",125,1,1,3,"Adj Land","Yes","26-12-1994","Other","No_Sew_Water","NoAccess",320272,112528,8656000,"1994","2011"
"2324",2324,"P05461","Karapakkam",1129,"19-02-2010",195,1,1,3,"Normal Sale","Yes","26-02-1983","Other","No_Sew_Water","Paved",297718,64721,6472125,"1983","2010"
"2325",2325,"P03053","Adyar",1272,"05-06-2011",102,2,2,4,"Partial","No","10-06-1991","Housing","ELO","Paved",385694,128565,9889600,"1991","2011"
"2326",2326,"P09129","Adyar",1085,"28-03-2007",66,1,1,3,"Adj Land","Yes","05-04-1975","Housing","AllPub","Paved",321130,17841,8920280,"1975","2007"
"2327",2327,"P02234","Velachery",1922,"10-11-2011",168,3,2,5,"Normal Sale","No","12-11-2000","Other","No_Sew_Water","Paved",354388,118129,10739020,"2000","2011"
"2328",2328,"P07959","Chromepet",994,"11-06-2008",116,1,1,3,"Adj Land","No","18-06-1980","Commercial","No_Sew_Water","NoAccess",357573,184554,11534600,"1980","2008"
"2329",2329,"P09928","Velachery",1798,"05-09-2004",44,2,1,4,"Family","Yes","17-09-1956","Housing","No_Sew_Water","NoAccess",291709,94100,9409960,"1956","2004"
"2330",2330,"P03433","Velachery",1544,"27-03-2011",16,2,1,4,"Family","No","30-03-1997","Commercial","AllPub","NoAccess",393146,117944,13104880,"1997","2011"
"2331",2331,"P08325","Velachery",1740,"14-02-2008",92,2,1,4,"Normal Sale","Yes","21-02-1978","Other","No_Sew_Water","Gravel",426731,207269,12192300,"1978","2008"
"2332",2332,"P06217","Velachery",1676,"04-10-2009",22,2,1,4,"Partial","No","16-10-1962","Housing","ELO","Gravel",303708,107191,8932590,"1962","2009"
"2333",2333,"P07782","Adyar",1209,"04-08-2008",55,2,2,4,"Normal Sale","Yes","09-08-1989","Housing","No_Sew_Water","Paved",352185,85378,10672285,"1989","2008"
"2334",2334,"P05323","KK Nagar",1397,"18-03-2010",190,2,1,4,"Abnormal","Yes","22-03-1993","Commercial","No_Sew_Water","Paved",434334,114971,12774540,"1993","2010"
"2335",2335,"P01836","Karapakkam",1028,"30-01-2012",11,1,1,3,"Family","Yes","01-02-2001","Housing","ELO","NoAccess",326014,63785,7087250,"2001","2012"
"2336",2336,"P03723","Adyar",1063,"24-01-2011",88,1,1,3,"Adj Land","Yes","26-01-2004","Other","No_Sew_Water","Paved",336826,115784,10525805,"2004","2011"
"2337",2337,"P03084","Velachery",1596,"29-05-2011",99,2,1,4,"Partial","Yes","11-06-1956","Housing","No_Sew_Water","Paved",375857,96374,9637350,"1956","2011"
"2338",2338,"P06945","Adyar",648,"12-04-2009",140,1,1,2,"Family","No","18-04-1985","Commercial","No_Sew_Water","NoAccess",257413,80442,8044160,"1985","2009"
"2339",2339,"P03043","Velachery",1732,"07-06-2011",188,2,1,4,"Adj Land","No","08-06-2005","Other","ELO","NoAccess",276311,80219,8913270,"2005","2011"
"2340",2340,"P08853","Chromepet",1100,"25-07-2007",79,1,1,3,"Adj Land","No","31-07-1981","Other","ELO","NoAccess",238464,45859,9171700,"1981","2007"
"2341",2341,"P00392","Chromepet",1182,"19-05-2014",47,1,1,3,"Adj Land","No","27-05-1983","Other","AllPub","Gravel",337180,152275,10876790,"1983","2014"
"2342",2342,"P03450","KK Nagar",2137,"24-03-2011",130,3,2,5,"Partial","No","29-03-1991","Other","No_Sew_Water","Paved",366127,212590,11810540,"1991","2011"
"2343",2343,"P01080","Chromepet",1298,"09-01-2013",124,2,1,4,"Adj Land","Yes","18-01-1977","Commercial","No_Sew_Water","Paved",528198,128048,16006000,"1977","2013"
"2344",2344,"P03803","Velachery",1581,"08-01-2011",167,2,1,4,"Abnormal","Yes","12-01-1996","Housing","No_Sew_Water","NoAccess",310536,131978,7763400,"1996","2011"
"2345",2345,"P09965","Velachery",1520,"25-06-2004",29,2,1,4,"Adj Land","No","03-07-1975","Other","No_Sew_Water","Paved",278330,112836,7522430,"1975","2004"
"2346",2346,"P06828","Chromepet",785,"11-05-2009",83,1,1,2,"Abnormal","No","19-05-1976","Other","ELO","NoAccess",190715,95358,7335200,"1976","2009"
"2347",2347,"P09937","Velachery",1929,"18-08-2004",196,3,2,5,"Normal Sale","Yes","26-08-1973","Commercial","ELO","Gravel",562480,160709,16070870,"1973","2004"
"2348",2348,"P03899","Chromepet",765,"18-12-2010",195,1,1,2,"Family","Yes","28-12-1970","Housing","ELO","Paved",178376,41164,6860600,"1970","2010"
"2349",2349,"P04465","KK Nagar",2215,"26-08-2010",88,3,2,5,"Partial","Yes","29-08-1998","Housing","AllPub","Gravel",405868,127559,11596240,"1998","2010"
"2350",2350,"P03645","KK Nagar",1599,"09-02-2011",88,2,1,4,"Adj Land","Yes","14-02-1991","Housing","No_Sew_Water","Gravel",304458,213121,10148600,"1991","2011"
"2351",2351,"P06573","KK Nagar",1320,"22-07-2009",123,1,1,3,"Family","No","25-07-1997","Commercial","AllPub","Gravel",450347,225174,11851240,"1997","2009"
"2352",2352,"P08314","TNagar",1527,"17-02-2008",10,1,1,4,"Adj Land","Yes","26-02-1970","Commercial","No_Sew_Water","NoAccess",710076,280293,18686210,"1970","2008"
"2353",2353,"P02689","Chromepet",803,"17-08-2011",103,1,1,3,"Normal Sale","No","22-08-1991","Housing","No_Sew_Water","NoAccess",183908,34057,6811400,"1991","2011"
"2354",2354,"P01596","Adyar",778,"12-03-2012",61,1,1,2,"Family","No","16-03-1996","Commercial","No_Sew_Water","Gravel",294646,19643,9821540,"1996","2012"
"2355",2355,"P07612","TNagar",1917,"21-09-2008",16,2,1,5,"Abnormal","No","24-09-1997","Other","ELO","Paved",564223,70528,14105580,"1997","2008"
"2356",2356,"P00483","TNagar",1762,"12-03-2014",45,1,1,4,"Adj Land","No","22-03-1973","Commercial","No_Sew_Water","NoAccess",476659,91665,18333020,"1973","2014"
"2357",2357,"P02758","Anna Nagar",1662,"04-08-2011",167,1,1,4,"Adj Land","Yes","09-08-1988","Housing","No_Sew_Water","Paved",516676,232504,12916910,"1988","2011"
"2358",2358,"P07720","Adyar",691,"21-08-2008",76,1,1,2,"Family","No","29-08-1977","Housing","ELO","NoAccess",203484,38497,5499565,"1977","2008"
"2359",2359,"P01082","Chromepet",1142,"08-01-2013",74,1,1,3,"Normal Sale","No","17-01-1978","Housing","AllPub","Gravel",282475,145517,8559850,"1978","2013"
"2360",2360,"P04252","Karapakkam",965,"05-10-2010",60,1,1,3,"Normal Sale","Yes","14-10-1974","Housing","No_Sew_Water","Gravel",199245,59774,6641500,"1974","2010"
"2361",2361,"P10028","Velachery",1793,"26-01-2004",140,2,1,4,"Partial","Yes","07-02-1953","Housing","No_Sew_Water","NoAccess",237331,62823,6980320,"1953","2004"
"2362",2362,"P01550","Chromepet",1021,"20-03-2012",85,1,1,3,"Abnormal","No","28-03-1980","Other","AllPub","Paved",241924,158181,9304770,"1980","2012"
"2363",2363,"P06719","Chromepet",1097,"15-06-2009",121,1,1,3,"Abnormal","Yes","17-06-2000","Commercial","ELO","Gravel",401624,193374,14874950,"2000","2009"
"2364",2364,"P02662","Velachery",1753,"23-08-2011",42,2,1,4,"Normal Sale","No","04-09-1961","Other","No_Sew_Water","NoAccess",221696,96992,6928000,"1961","2011"
"2365",2365,"P03895","TNagar",1941,"20-12-2010",71,2,1,5,"Abnormal","Yes","23-12-1998","Other","No_Sew_Water","Gravel",578850,132309,16538570,"1998","2010"
