"","INT_SQFT","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","REG_FEE","COMMIS","SALES_PRICE","YEAR_BUILD","YEAR_SOLD","AREA_Adyar","AREA_AnnaNagar","AREA_Karapakkam","AREA_KKnagar","AREA_TNagar","AREA_Velachery","SALE_COND_Abnormal","SALE_COND_Family","SALE_COND_NormalSale","SALE_COND_Partial","PARK_FACIL_No","BUILDTYPE_Commercial","BUILDTYPE_Other","UTILITY_AVAIL_AllPub","UTILITY_AVAIL_ELO","STREET_Gravel","STREET_NoAccess"
"672",1986,9,3,2,5,367822,178656,10509200,1991,2011,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"673",1083,176,1,1,3,200358,93023,7155650,1980,2007,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"674",1218,163,2,1,4,400509,180875,12919650,1976,2011,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"675",1903,5,2,1,5,502322,265115,13953400,1982,2010,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
"676",860,103,1,1,3,408213,197922,12370100,2002,2008,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"677",1003,92,1,1,3,291146,75951,6329250,1979,2010,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"678",1078,29,1,1,3,398238,167003,12846400,1986,2014,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
"679",1133,198,1,1,3,243212,145927,9728460,1990,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
"680",1494,157,2,1,4,439670,93547,9354680,1984,2008,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"681",626,27,1,1,2,326927,16346,8173180,1974,2006,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
"682",719,82,1,1,2,198508,36761,7352150,1972,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"683",921,121,1,1,3,192291,135735,5655625,1979,2012,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"684",1867,135,2,1,5,747611,219886,21988560,2004,2012,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"685",1010,23,1,1,3,230558,26603,8867600,1971,2007,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"686",1404,66,2,2,4,223372,131395,6569750,1997,2010,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
"687",1305,140,1,1,3,323516,125445,6602375,1973,2011,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"688",1647,127,2,2,4,471011,143351,10239375,1995,2010,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
"689",1433,85,2,2,4,491569,88482,9831375,2004,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"690",925,186,1,1,3,301983,45755,9151000,1978,2007,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
"691",964,166,1,1,3,322134,140934,10066680,2004,2012,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"692",571,122,1,1,2,268583,126392,7899500,1989,2011,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"693",1828,23,2,1,5,416565,98015,12251920,1977,2011,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"694",1595,131,2,2,4,341834,151926,9495375,1969,2010,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"695",615,98,1,1,2,254124,69306,7700720,1980,2008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"696",919,42,1,1,3,305428,73303,12217100,1974,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"697",1018,30,1,1,3,367607,122536,11139610,1976,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"698",1578,64,1,1,4,599198,299599,17623460,1980,2013,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
"699",1660,134,1,1,4,394490,231253,13603120,1996,2012,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
"700",796,191,1,1,2,289451,104202,11578050,1972,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"701",2416,111,4,2,6,453842,155603,12966920,1989,2009,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"702",760,73,1,1,2,238538,144826,8519200,1994,2010,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"703",1767,174,2,1,4,390758,182354,13025260,1986,2009,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
"704",817,97,1,1,3,234738,54772,7824600,1991,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"705",630,77,1,1,2,273531,68383,8547835,2001,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"706",833,130,1,1,3,390808,167489,11165950,1998,2008,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
"707",740,21,1,1,2,250101,101893,9263000,2003,2007,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"708",1520,147,2,1,4,596653,244085,13560300,1996,2011,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
"709",769,151,1,1,2,207857,44091,6298700,1977,2011,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"710",1638,15,1,1,4,369106,89095,12727790,1985,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"711",1857,14,3,2,5,631215,161850,16185010,1998,2006,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"712",924,181,1,1,3,346332,118482,9114000,1976,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"713",600,96,1,1,2,204800,13653,6826655,1991,2008,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"714",1964,187,3,2,5,279871,195910,9329030,1966,2010,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
"715",1914,66,2,1,5,489460,190346,13596110,1978,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"716",1678,31,1,1,4,516892,225312,13253630,1993,2010,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"717",758,43,1,1,2,265563,83862,6988500,1972,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"718",1110,157,1,1,3,287585,150640,6847250,1988,2012,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"719",1782,88,2,1,4,443511,81699,11671340,2004,2011,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"720",1282,63,2,2,4,358881,92021,9202070,1970,2008,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"721",913,77,1,1,3,293412,132509,9464900,1978,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"722",1545,70,2,1,4,332349,166175,8308730,1991,2010,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
"723",971,91,1,1,3,325049,96311,12038850,1989,2008,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"724",605,60,1,1,2,171669,40056,5722305,1981,2008,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"725",1014,83,1,1,3,266123,91767,9176650,1971,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"726",982,79,1,1,3,357720,38327,12775700,1997,2007,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
"727",1651,100,2,1,4,436391,122735,13637220,1996,2012,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"728",1288,133,1,1,3,182641,59235,4936250,1968,2011,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"729",1661,83,2,1,4,380011,95003,10555860,1976,2004,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"730",1578,68,2,1,4,300949,87372,9708030,1982,2011,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"731",1937,4,3,2,5,549637,268427,12782260,2004,2010,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"732",1403,74,2,2,4,172880,59428,5402500,1966,2010,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"733",968,49,1,1,3,368265,115740,10521855,1971,2008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"734",1628,185,2,2,4,357525,150161,7150500,1968,2012,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
"735",1287,18,2,2,4,564652,28233,14116310,1995,2009,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"736",1438,77,2,2,4,208250,127637,6717750,1972,2010,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1
"737",1351,95,2,2,4,204406,123883,6194125,1965,2009,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"738",956,16,1,1,3,326675,138590,9899250,1990,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"739",1177,47,1,1,3,394583,159966,10664405,2000,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"740",774,113,1,1,2,153386,76693,5899450,1980,2011,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"741",1207,145,1,1,3,250415,119245,5962250,1977,2010,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"742",1561,70,2,1,4,485630,148387,13489720,2004,2010,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"743",1156,46,1,1,3,351969,160900,10056250,2003,2010,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
"744",1852,11,3,2,5,732846,311849,15592460,1997,2010,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"745",1190,56,1,1,3,315794,164213,12631750,1974,2007,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"746",1823,200,3,2,5,409987,143496,10249680,1963,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"747",1527,176,2,1,4,278584,116077,7738440,2000,2012,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
"748",581,128,1,1,2,318472,137522,7238000,1997,2009,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
"749",519,13,1,1,2,265278,163248,6802000,1989,2009,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"750",1290,149,1,1,3,443363,207532,9433250,1983,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"751",1274,10,2,1,4,275204,110081,9173450,1996,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"752",1041,198,1,1,3,417576,83515,13919200,1970,2010,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"753",908,46,1,1,3,191092,47773,4343000,1967,2011,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"754",1525,27,2,2,4,372608,248405,12420250,2003,2010,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"755",1984,102,3,2,5,386445,132205,10169600,1956,2006,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
"756",1537,65,2,2,4,591675,144900,12075000,1982,2010,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"757",1806,71,3,2,5,359209,108851,10885120,1963,2004,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"758",1152,75,1,1,3,295898,69043,9863280,1997,2009,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"759",1288,190,2,1,4,487732,94400,15733300,1980,2010,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"760",730,9,1,1,2,233933,109169,5198500,1965,2011,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
"761",1730,162,2,1,4,382177,191088,10616020,1979,2005,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"762",845,101,1,1,3,320216,138760,10673850,1991,2014,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"763",1776,136,2,1,4,459883,133514,14834920,1998,2009,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
"764",913,200,1,1,3,425471,154717,12893050,1990,2009,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"765",1124,141,1,1,3,214341,82439,8243880,1968,2008,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"766",766,152,1,1,2,194053,70995,4733000,1967,2011,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"767",665,190,1,1,2,311282,155641,6767000,1994,2010,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"768",762,149,1,1,2,192017,30003,6000540,1970,2010,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
"769",1833,190,3,2,5,349509,141988,10922160,2003,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
"770",944,132,1,1,3,303251,128299,11663500,2002,2012,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"771",1754,118,1,1,4,442523,179401,11960070,1967,2012,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"772",875,39,1,1,3,298838,59768,11953500,1995,2013,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"773",1392,33,2,2,4,315952,102471,8539250,1969,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"774",1853,158,2,1,5,542114,81317,13552840,1996,2008,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"775",1576,185,2,1,4,349820,207706,10931870,1981,2012,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"776",1022,0,1,1,3,400123,154886,12907200,2001,2013,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"777",1640,132,1,1,4,372717,202332,10649060,1977,2010,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"778",779,24,1,1,2,270533,40990,8197980,1986,2011,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"779",1729,92,2,1,4,358697,95652,11956550,1966,2011,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
"780",715,129,1,1,2,308516,82271,10283850,1974,2009,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"781",1562,161,1,1,4,657946,259716,17314380,1970,2014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"782",1203,36,1,1,3,238316,72819,6619875,1966,2009,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
"783",1825,155,3,2,5,485238,215661,10783060,1982,2010,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
"784",1707,48,2,1,4,337629,136877,9125100,1977,2012,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
"785",998,140,1,1,3,259296,110004,7857455,1992,2009,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"786",1675,34,2,2,4,340198,124463,8297500,1982,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"787",1792,156,1,1,4,683010,103486,20697270,2003,2014,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
"788",1574,54,1,1,4,470899,211905,11772480,1992,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"789",1070,67,1,1,3,447465,136185,9727500,1980,2010,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"790",1125,156,1,1,3,359629,86807,12401000,1977,2013,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
"791",1971,12,3,2,5,555414,306939,14616160,1971,2004,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"792",1361,93,2,1,4,368055,152608,8976940,2003,2010,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"793",1786,74,3,2,5,478093,229086,9960280,1986,2010,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"794",612,32,1,1,2,159473,116947,5315750,1984,2009,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
"795",1596,154,1,1,4,360403,191464,11262600,1988,2007,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"796",1644,66,1,1,4,455587,175226,11681720,1987,2007,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"797",1041,78,1,1,3,372629,42586,10646530,1985,2007,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"798",810,24,1,1,3,271230,56117,9352750,1980,2009,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
"799",837,117,1,1,3,240307,102989,8582390,2004,2010,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"800",1884,181,2,1,5,533887,196695,14049650,1999,2014,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"801",1063,187,1,1,3,305349,148048,9253010,1981,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"802",1298,69,1,1,3,307556,120348,6686000,1992,2011,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"803",1867,149,2,1,5,268034,182263,10721350,1965,2010,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"804",1575,172,1,1,4,300066,80018,10002210,1965,2008,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"805",1463,74,2,2,4,364989,186550,8110875,1981,2010,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"806",1164,0,1,1,3,284980,83818,8381750,1988,2011,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"807",1805,149,2,1,5,510970,245265,20438790,1989,2011,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"808",733,190,1,1,2,146605,73303,4886840,1974,2010,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
"809",1197,76,1,1,3,386315,89150,9905510,1996,2010,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"810",2069,131,3,2,5,341443,90382,10042440,1998,2010,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"811",956,22,1,1,3,317243,67981,11330100,2004,2014,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"812",736,79,1,1,2,243022,31358,7839405,2004,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"813",1050,198,1,1,3,309802,119923,9993600,2000,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"814",2047,70,3,2,5,515696,167901,11992920,1979,2008,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"815",632,50,1,1,2,266985,124593,8899500,1989,2009,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"816",871,118,1,1,2,282380,153292,8068000,1978,2010,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
"817",811,192,1,1,3,291205,35298,8824390,2005,2011,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"818",1087,141,1,1,3,322042,8257,8257475,2004,2009,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"819",1170,126,1,1,3,317755,30750,10250150,1994,2009,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"820",1843,149,3,2,5,366150,134897,9635530,1980,2009,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0
"821",1783,99,1,1,4,536051,141066,14106600,1971,2014,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"822",847,39,1,1,2,415507,216786,9032750,2000,2009,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"823",1258,78,2,1,4,230110,32873,8218210,1981,2010,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
"824",979,176,1,1,3,320084,174591,7274625,1993,2009,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"825",1607,77,2,2,4,325793,96257,7404375,1980,2011,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
"826",775,127,1,1,2,193169,100448,7726750,1988,2008,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"827",1830,84,3,2,5,422234,177783,11111430,1991,2010,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
"828",961,61,1,1,3,226976,117691,8406500,1993,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"829",1925,38,3,2,5,259549,83726,8372550,1959,2004,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
"830",1301,164,1,1,3,529649,209072,13938120,1985,2011,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"831",1041,35,1,1,3,239142,91978,9197770,2002,2014,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"832",1593,6,2,2,4,239794,183842,7993125,1991,2010,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"833",779,42,1,1,2,264914,132457,10189000,2005,2013,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
"834",725,2,1,1,2,258284,24214,8071375,2002,2007,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
"835",1717,115,2,1,4,530971,186557,14350560,1993,2011,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
"836",1248,159,2,2,4,305896,87399,8739885,1991,2010,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"837",1223,70,2,1,4,283531,126014,10501150,2002,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"838",1925,177,2,1,5,923026,378677,23667340,2000,2007,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
"839",907,5,1,1,3,249890,59974,9995590,1974,2010,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
"840",1089,29,1,1,3,320030,80007,10000930,1999,2011,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"841",1574,102,1,1,4,292130,101122,11235770,1985,2011,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"842",1335,89,2,2,4,649325,168825,12986500,2000,2010,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"843",1876,50,3,2,5,710663,181797,16527040,1987,2009,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"844",2455,122,4,2,6,963029,341073,20063100,2006,2011,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0
"845",1280,162,1,1,3,203505,122103,6783500,2000,2010,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"846",2169,92,3,2,5,851979,408950,17039580,2002,2011,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
"847",1897,1,3,2,5,321283,90361,10040100,1967,2007,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"848",975,147,1,1,3,275410,141878,8345750,1971,2007,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
"849",1876,196,2,1,5,572746,161544,14685790,2003,2010,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"850",1931,28,2,1,5,591965,266384,14799120,2000,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"851",1793,157,1,1,4,625768,402279,22348850,2009,2014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"852",1618,98,1,1,4,454008,201781,12611320,1981,2010,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"853",1582,50,2,1,4,277279,57087,8155260,1986,2009,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
"854",1050,195,1,1,3,389198,43244,14414750,1987,2008,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"855",1938,108,3,2,5,462329,94837,11854600,1998,2010,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"856",1894,189,2,1,5,457933,243277,14310420,1973,2013,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"857",1780,30,1,1,4,335669,104173,11574780,1969,2012,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"858",1636,34,2,1,4,333586,61450,8778570,1964,2010,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"859",1864,67,2,1,5,620753,310377,20691780,1967,2006,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"860",2478,93,4,2,6,823239,156808,19600940,2003,2010,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"861",725,147,1,1,2,178317,49533,4953250,1976,2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"862",1627,50,1,1,4,483744,145123,12093600,1988,2008,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"863",1652,145,2,2,4,293963,59993,5999250,1991,2010,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"864",1996,46,2,1,5,880115,270805,22567050,2003,2008,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"865",1463,85,2,1,4,486480,217636,12802100,1995,2010,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0
"866",1302,45,1,1,3,390335,221781,8871250,1979,2011,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"867",1294,31,2,1,4,289811,87822,8782150,2004,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"868",1685,56,2,2,4,355825,133434,8895625,2000,2011,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"869",1790,183,2,1,4,251702,137292,7627340,1963,2010,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
"870",1036,51,1,1,3,300920,120368,10030670,1984,2013,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"871",1688,93,1,1,4,667519,215962,19632920,1978,2009,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"872",1707,184,1,1,4,605765,323074,20192150,1997,2007,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
"873",919,184,1,1,3,263652,127831,7989450,1994,2009,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"874",1528,125,2,1,4,286748,172049,8192790,1997,2004,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"875",1746,162,2,1,4,566852,208840,14917160,1959,2007,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
"876",1885,109,2,1,5,337535,162017,13501410,1996,2014,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"877",1135,124,1,1,3,295770,86991,8699125,1993,2008,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
"878",871,47,1,1,3,235936,95849,7373000,1974,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"879",831,139,1,1,3,262272,77139,7713895,1993,2006,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"880",1216,12,2,1,4,292467,48745,9748900,1990,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"881",1728,45,2,1,4,426297,218614,10930680,1996,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"882",1677,123,1,1,4,310623,203100,11947050,2002,2012,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"883",1463,19,2,2,4,217745,88275,5885000,2004,2010,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"884",1739,67,1,1,4,288980,196093,10320700,1974,2009,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"885",668,122,1,1,2,120204,36729,3339000,1975,2011,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"886",1878,44,2,1,5,588854,263435,15496160,2001,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
